feature_index,feature_name,description,category
f0,ta,Air temperature,Environmental
f1,rh,Relative humidity,Environmental
f2,sw_in,Shortwave incoming radiation,Environmental
f3,ws,Wind speed,Environmental
f4,precip,Precipitation,Environmental
f5,ppfd_in,Photosynthetic photon flux density,Environmental
f6,vpd,Vapor pressure deficit,Environmental
f7,ext_rad,Extraterrestrial radiation,Environmental
f8,hour,Hour of day,Temporal
f9,day_of_year,Day of year,Temporal
f10,month,Month,Temporal
f11,year,Year,Temporal
f12,day_of_week,Day of week,Temporal
f13,hour_sin,Sine of hour (cyclical),Temporal
f14,hour_cos,Cosine of hour (cyclical),Temporal
f15,day_sin,Sine of day of year (cyclical),Temporal
f16,day_cos,Cosine of day of year (cyclical),Temporal
f17,month_sin,Sine of month (cyclical),Temporal
f18,month_cos,Cosine of month (cyclical),Temporal
f19,solar_hour,Solar hour,Temporal
f20,solar_day_of_year,Solar day of year,Temporal
f21,solar_hour_sin,Sine of solar hour,Temporal
f22,solar_hour_cos,Cosine of solar hour,Temporal
f23,solar_day_sin,Sine of solar day,Temporal
f24,solar_day_cos,Cosine of solar day,Temporal
f25,is_daylight,Daylight indicator (6-18h),Temporal
f26,is_peak_sunlight,Peak sunlight indicator (10-16h),Temporal
f27,is_weekend,Weekend indicator,Temporal
f28,is_morning,Morning indicator (6-12h),Temporal
f29,is_afternoon,Afternoon indicator (12-18h),Temporal
f30,is_night,Night indicator,Temporal
f31,is_spring,Spring season indicator,Temporal
f32,is_summer,Summer season indicator,Temporal
f33,is_autumn,Autumn season indicator,Temporal
f34,is_winter,Winter season indicator,Temporal
f35,hours_since_sunrise,Hours since sunrise,Temporal
f36,hours_since_sunset,Hours since sunset,Temporal
f37,ta_mean_3h,Temperature 3h-hour mean,Rolling
f38,ta_std_3h,Temperature 3h-hour standard deviation,Rolling
f39,ta_mean_6h,Temperature 6h-hour mean,Rolling
f40,ta_std_6h,Temperature 6h-hour standard deviation,Rolling
f41,ta_mean_12h,Temperature 12h-hour mean,Rolling
f42,ta_std_12h,Temperature 12h-hour standard deviation,Rolling
f43,ta_mean_24h,Temperature 24h-hour mean,Rolling
f44,ta_std_24h,Temperature 24h-hour standard deviation,Rolling
f45,ta_mean_48h,Temperature 48h-hour mean,Rolling
f46,ta_std_48h,Temperature 48h-hour standard deviation,Rolling
f47,ta_mean_72h,Temperature 72h-hour mean,Rolling
f48,ta_std_72h,Temperature 72h-hour standard deviation,Rolling
f49,ta_mean_168h,Temperature 168h-hour mean,Rolling
f50,ta_std_168h,Temperature 168h-hour standard deviation,Rolling
f51,ta_mean_336h,Temperature 336h-hour mean,Rolling
f52,ta_std_336h,Temperature 336h-hour standard deviation,Rolling
f53,ta_mean_720h,Temperature 720h-hour mean,Rolling
f54,ta_std_720h,Temperature 720h-hour standard deviation,Rolling
f55,vpd_mean_3h,VPD 3h-hour mean,Rolling
f56,vpd_std_3h,VPD 3h-hour standard deviation,Rolling
