feature_name,description
ta,Air temperature
rh,Relative humidity
vpd,Vapor pressure deficit
sw_in,Shortwave incoming radiation
ws,Wind speed
precip,Precipitation
ppfd_in,Photosynthetic photon flux density
ext_rad,Extraterrestrial radiation
swc_shallow,Soil water content (shallow)
hour,Hour of day
day_of_year,Day of year
month,Month
year,Year
day_of_week,Day of week
hour_sin,Sine of hour (cyclical)
hour_cos,Cosine of hour (cyclical)
day_sin,Sine of day of year (cyclical)
day_cos,Cosine of day of year (cyclical)
month_sin,Sine of month (cyclical)
month_cos,Cosine of month (cyclical)
solar_hour,Solar hour
solar_day_of_year,Solar day of year
solar_hour_sin,Sine of solar hour
solar_hour_cos,Cosine of solar hour
solar_day_sin,Sine of solar day
solar_day_cos,Cosine of solar day
is_daylight,Daylight indicator (6-18h)
is_peak_sunlight,Peak sunlight indicator (10-16h)
is_weekend,Weekend indicator
is_morning,Morning indicator (6-12h)
is_afternoon,Afternoon indicator (12-18h)
is_night,Night indicator
is_spring,Spring season indicator
is_summer,Summer season indicator
is_autumn,Autumn season indicator
is_winter,Winter season indicator
hours_since_sunrise,Hours since sunrise
hours_since_sunset,Hours since sunset
vpd_ppfd_interaction,VPD × PPFD interaction
vpd_ta_interaction,VPD × Temperature interaction
temp_humidity_ratio,Temperature/humidity ratio
water_stress_index,Water stress index
ppfd_efficiency,PPFD efficiency
stomatal_conductance_proxy,Stomatal conductance proxy
wind_stress,Wind stress
wind_vpd_interaction,Wind × VPD interaction
temp_soil_interaction,Temperature × soil interaction
humidity_soil_interaction,Humidity × soil interaction
radiation_temp_interaction,Radiation × temperature interaction
stomatal_control_index,Stomatal control index
light_efficiency,Light efficiency
ta_rate_1h,Temperature rate of change 1h
ta_rate_6h,Temperature rate of change 6h
ta_rate_24h,Temperature rate of change 24h
vpd_rate_1h,VPD rate of change 1h
vpd_rate_6h,VPD rate of change 6h
vpd_rate_24h,VPD rate of change 24h
sw_in_rate_1h,Shortwave radiation rate of change 1h
sw_in_rate_6h,Shortwave radiation rate of change 6h
sw_in_rate_24h,Shortwave radiation rate of change 24h
rh_rate_1h,Relative humidity rate of change 1h
rh_rate_6h,Relative humidity rate of change 6h
rh_rate_24h,Relative humidity rate of change 24h
precip_cum_24h,Cumulative precipitation 24h
precip_cum_72h,Cumulative precipitation 72h
precip_cum_168h,Cumulative precipitation 168h
sw_in_cum_24h,Cumulative shortwave radiation 24h
sw_in_cum_72h,Cumulative shortwave radiation 72h
seasonal_temp_range,Seasonal temperature range
seasonal_precip_range,Seasonal precipitation range
temp_deviation,Temperature deviation from optimal (25°C)
tree_size_factor,Tree size factor (log of DBH)
sapwood_leaf_ratio,Sapwood to leaf area ratio
transpiration_capacity,Transpiration capacity
ta_lag_1h,Temperature lag 1h
ta_lag_2h,Temperature lag 2h
ta_lag_3h,Temperature lag 3h
ta_lag_6h,Temperature lag 6h
ta_lag_12h,Temperature lag 12h
ta_lag_24h,Temperature lag 24h
rh_lag_1h,Relative humidity lag 1h
rh_lag_2h,Relative humidity lag 2h
rh_lag_3h,Relative humidity lag 3h
rh_lag_6h,Relative humidity lag 6h
rh_lag_12h,Relative humidity lag 12h
rh_lag_24h,Relative humidity lag 24h
vpd_lag_1h,VPD lag 1h
vpd_lag_2h,VPD lag 2h
vpd_lag_3h,VPD lag 3h
vpd_lag_6h,VPD lag 6h
vpd_lag_12h,VPD lag 12h
vpd_lag_24h,VPD lag 24h
sw_in_lag_1h,Shortwave radiation lag 1h
sw_in_lag_2h,Shortwave radiation lag 2h
sw_in_lag_3h,Shortwave radiation lag 3h
sw_in_lag_6h,Shortwave radiation lag 6h
sw_in_lag_12h,Shortwave radiation lag 12h
sw_in_lag_24h,Shortwave radiation lag 24h
ws_lag_1h,Wind speed lag 1h
ws_lag_2h,Wind speed lag 2h
ws_lag_3h,Wind speed lag 3h
ws_lag_6h,Wind speed lag 6h
ws_lag_12h,Wind speed lag 12h
ws_lag_24h,Wind speed lag 24h
precip_lag_1h,Precipitation lag 1h
precip_lag_2h,Precipitation lag 2h
precip_lag_3h,Precipitation lag 3h
precip_lag_6h,Precipitation lag 6h
precip_lag_12h,Precipitation lag 12h
precip_lag_24h,Precipitation lag 24h
swc_shallow_lag_1h,Soil water content lag 1h
swc_shallow_lag_2h,Soil water content lag 2h
